key,role,grade,city,format,n,p25,p50,p75,from,counts_json
bi-analyst|middle|*|*,bi-analyst,middle,*,*,40,151000,173000,189000,40000,"[1, 0, 0, 3, 2, 7, 9, 10, 2, 1, 3, 2]"
business-analyst|junior|*|*,business-analyst,junior,*,*,22,80000,102000,129000,0,"[1, 0, 1, 3, 5, 5, 3, 2, 1, 1]"
data-analyst|senior|*|*,data-analyst,senior,*,*,109,247000,288000,360000,140000,"[2, 2, 7, 4, 6, 16, 11, 12, 15, 5, 1, 13, 2, 6, 3, 1, 1, 1, 0, 0, 0, 0, 1]"
data-analyst|senior|*|hybrid,data-analyst,senior,*,hybrid,39,243000,291000,377000,140000,"[2, 1, 4, 0, 2, 6, 3, 2, 3, 1, 0, 6, 2, 5, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
data-analyst|senior|msk|*,data-analyst,senior,msk,*,70,266000,310000,370000,140000,"[1, 1, 1, 0, 2, 10, 8, 8, 9, 5, 1, 10, 2, 6, 2, 1, 1, 1, 0, 0, 0, 0, 1]"
product-analyst|junior-plus|*|*,product-analyst,junior-plus,*,*,53,124000,160000,188000,80000,"[4, 5, 7, 10, 10, 9, 4, 2, 1, 0, 1]"
product-analyst|junior-plus|*|hybrid,product-analyst,junior-plus,*,hybrid,26,128000,160000,184000,80000,"[2, 3, 2, 5, 6, 3, 2, 2, 0, 0, 1]"
product-analyst|junior-plus|msk|hybrid,product-analyst,junior-plus,msk,hybrid,20,148000,163000,191000,80000,"[1, 1, 1, 5, 4, 3, 2, 2, 0, 0, 1]"
system-analyst|middle|*|*,system-analyst,middle,*,*,73,156000,200000,252000,100000,"[1, 13, 5, 7, 10, 9, 3, 9, 7, 4, 1, 3, 1]"
system-analyst|middle|*|hybrid,system-analyst,middle,*,hybrid,21,192000,206000,252000,140000,"[1, 2, 5, 5, 2, 2, 3, 0, 0, 1]"
system-analyst|middle|msk|*,system-analyst,middle,msk,*,39,193000,233000,261000,120000,"[3, 2, 2, 5, 6, 3, 7, 4, 2, 1, 3, 1]"
data-analyst|middle|*|*,data-analyst,middle,*,*,245,154000,192000,225000,40000,"[2, 3, 1, 5, 20, 38, 29, 29, 45, 26, 19, 11, 10, 4, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
data-analyst|middle|*|hybrid,data-analyst,middle,*,hybrid,82,162000,201000,229000,40000,"[1, 0, 0, 1, 5, 12, 7, 8, 17, 13, 6, 5, 3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
product-analyst|middle|*|*,product-analyst,middle,*,*,166,183000,211000,243000,100000,"[4, 4, 12, 16, 25, 31, 28, 20, 9, 7, 4, 3, 1, 2]"
product-analyst|middle|*|hybrid,product-analyst,middle,*,hybrid,68,193000,216000,246000,140000,"[5, 6, 8, 19, 12, 8, 3, 4, 2, 0, 0, 1]"
product-analyst|middle|msk|*,product-analyst,middle,msk,*,109,193000,220000,250000,100000,"[1, 0, 2, 14, 14, 21, 20, 17, 6, 6, 3, 2, 1, 2]"
product-analyst|middle|msk|hybrid,product-analyst,middle,msk,hybrid,50,201000,221000,250000,160000,"[6, 4, 14, 10, 7, 3, 3, 2, 0, 0, 1]"
data-analyst|intern|*|*,data-analyst,intern,*,*,12,44000,56000,67000,20000,"[3, 4, 5]"
product-analyst|lead|*|*,product-analyst,lead,*,*,39,315000,390000,457000,200000,"[1, 0, 0, 6, 0, 3, 3, 2, 3, 4, 2, 2, 3, 4, 1, 0, 1, 0, 1, 1, 1, 0, 1]"
product-analyst|middle-plus|*|*,product-analyst,middle-plus,*,*,101,241000,280000,302000,120000,"[2, 2, 2, 3, 3, 10, 14, 13, 22, 11, 4, 7, 2, 1, 0, 2, 1, 1, 0, 1]"
